Name,Description,Category,Sub-category,Price,Company Name
Gaming Cooling Pad Red LED,5-fan gaming laptop cooling pad with red LED lights and adjustable height.,Computer Accessories,Cooling Pads,1999.0,SmartCart
RGB Cooling Pad with Phone Holder,Dual-fan RGB cooling pad with phone holder stand and metal mesh.,Computer Accessories,Cooling Pads,2499.0,SmartCart
Lapcare RGB Cooling Pad Pro,"Lapcare premium cooling pad with 6 fans, LCD display, RGB lighting, and phone holder.",Computer Accessories,Cooling Pads,2999.0,Lapcare
Sony ULT WEAR Headphones,"Sony ULT WEAR wireless headphones with Massive Bass, ULT Power Sound button, and ANC.",Computer Accessories,Webcams,17990.0,Sony
Sony WH-1000XM5,Sony WH-1000XM5 industry-leading noise cancelling headphones with DSEE Extreme.,Computer Accessories,Webcams,24990.0,Sony
Sony ULT WEAR (Forest Gray),"Sony ULT WEAR wireless headphones in Forest Gray with Digital NC, DSEE Extreme, 360 Reality Audio.",Computer Accessories,Webcams,15990.0,Sony
Ant Esports 200 Air ,"
Ant Esports 200 Air Mini Micro Atx Mid Tower Gaming Cabinet White (200 Air Mini - White)
",Computer Components,Cabinet (PC Case),3199.0,Ant Esports 
Ant Esports 511 Air ,"Ant Esports 511 Air 5F E-ATX Mid Tower Cabinet Black (AESP0371)
",Computer Components,Cabinet (PC Case),4650.0,Ant Esports 
Ant Esports AQUA 360,Ant Esports AQUA 360 4F Mid Tower Gaming Cabinet - Black,Computer Components,Cabinet (PC Case),4500.0,Ant Esports
Antec Performance 1 FT ARGB ,Antec Performance 1 FT ARGB (E-ATX) Full Tower Cabinet (Black) (PERFORMANCE-1-FT-ARGB),Computer Components,Cabinet (PC Case),5500.0,Antec 
Asus Rog Hyperion GR701,"Asus Rog Hyperion GR701 E-Atx Mid Tower Cabinet (White)
",Computer Components,Cabinet (PC Case),43000.0,Asus
Corsair 5000T,"Corsair 5000T Mid-Tower Mini-ITX High-Performance Cabinet Black (CC-9011300-WW)
",Computer Components,Cabinet (PC Case),19400.0,Corsair
MSI MAG Forge 320R ,"MSI MAG Forge 320R Airflow Mid Tower Atx Cabinet White

",Computer Components,Cabinet (PC Case),5400.0,MSI 
"MSI Mag Pano 110R PZ Mid Tower ATX Cabinet White ₹9,999","MSI Mag Pano 110R PZ Mid Tower ATX Cabinet White

.",Computer Components,Cabinet (PC Case),7500.0,MSI
Lian Li PC-O11 Dynamic,The gold standard for enthusiast water cooling.,Computer Components,Cabinets,14999.0,SmartCart
Ant Esports Ice Chroma 240 ,"Ant Esports Ice Chroma 240 Argb 240mm Liquid Cooler Black (ICE-CHROMA-240-ARGB-BLACK)
",Computer Components,Cooler,4850.0,Ant Esports 
Ant Esports Ice Chroma 360,"Ant Esports Ice Chroma 360 Argb 360mm Liquid Cooler Black (ICE-CHROMA-360-ARGB-BLACK)
",Computer Components,Cooler,5750.0,Ant Esports 
Ant Esports ICE,"Ant Esports ICE-C612 Digital Air CPU Cooler (ICE-C612-DIGITAL)
",Computer Components,Cooler,2250.0,Ant Esports 
Arctic Liquid Freezer III 240,"Arctic Liquid Freezer III 240 Argb Cpu Liquid Cooler White (ACFRE00150A)
",Computer Components,Cooler,9600.0,Arctic 
Asus ROG Strix LC,"Asus ROG Strix LC III 360 ARGB 360mm CPU Liquid Cooler Black (ROG-STRIX-LC-III-360-ARGB-BLACK)
",Computer Components,Cooler,24500.0,Asus
Msi Mag Coreliquid I360 ,"Msi Mag Coreliquid I360 360mm CPU Liquid Cooler Black
",Computer Components,Cooler,11700.0,Msi 
Asus Dual GeForce Rtx 4060 Ti ,"Asus Dual GeForce Rtx 4060 Ti White Oc Edition 8Gb Gddr6 Graphics Card (DUAL-RTX4060TI-O8G-WHITE)
",Computer Components,Graphics Card (GPU),44000.0,ASUS
Asus Dual GeForce RTX 5060 Ti ,"Asus Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition Graphics Card
",Computer Components,Graphics Card (GPU),66800.0,ASUS
ASUS ROG Astral RTX 5090 32GB ,"ASUS ROG Astral RTX 5090 32GB GDDR7 White OC Edition Graphics Card
",Computer Components,Graphics Card (GPU),491000.0,ASUS
MSI RTX 5070 Gaming Trio OC 12GB,"MSI RTX 5070 Gaming Trio OC 12GB GDDR7 Graphics Card (G5070-12GTC)
",Computer Components,Graphics Card (GPU),86000.0,MSI 
MSI RTX 5060 Ventus 2X,"MSI RTX 5060 Ventus 2X OC White 8GB GDDR7 Graphics Card (G5060-8V2CW)
 ",Computer Components,Graphics Card (GPU),41400.0,MSI
NVIDIA RTX 4090,The absolute pinnacle of PC gaming.,Computer Components,Graphics Cards (GPUs),189999.0,SmartCart
RTX 4080 Super,"NVIDIA GeForce RTX 4080 Super with 16GB GDDR6X, DLSS 3.0, and ray tracing for ultimate 4K gaming.",Computer Components,Graphics Cards (GPUs),129999.0,NVIDIA
AsRock B760M ,"AsRock B760M Steel Legend Wifi Lga1700 Micro Atx Motherboard (B760M-Steel-Legend-WiFi)
",Computer Components,Motherboard,15999.0,AsRock
ASRock Phantom Gaming X870E Nova,"ASRock Phantom Gaming X870E Nova WiFi AM5 ATX Motherboard (X870E-NOVA-WIFI)
",Computer Components,Motherboard,37500.0,ASRock
Asus Prime,"Asus Prime B550M-K Argb AM4 Micro Atx Motherboard (PRIME-B550M-K-ARGB)
",Computer Components,Motherboard,9500.0,Asus
ASUS ROG ,"ASUS ROG Crosshair X870E Apex AM5 ATX Motherboard
",Computer Components,Motherboard,70800.0,ASUS 
MSI B650,"MSI B650 Gaming Plus WIFI Motherboard( B650-GAMING-PLUS-WIFI)
",Computer Components,Motherboard,33999.0,MSI 
Msi B650M,"Msi B650M Project Zero Wifi Am5 Micro Atx Motherboard (B650M-PROJECT-ZERO)
",Computer Components,Motherboard,20100.0,Msi
ASUS ROG Crosshair X670E,,Computer Components,Motherboards,64999.0,SmartCart
Corsair RM1000x Gold,Legendary silent power and efficiency.,Computer Components,Power Supplies (PSUs),16999.0,SmartCart
Ant Esports FG550 V2 550W,"Ant Esports FG550 V2 550W 80 Plus Gold Fully-Modular Power Supply (FG550 V2)

",Computer Components,Power Supply (SMPS),3850.0,Ant Esports 
Ant Esports FG650 80,"Ant Esports FG650 80 Plus Gold Power Supply (FG650)

",Computer Components,Power Supply (SMPS),4440.0,Ant Esports
ASUS ROG Thor 1000W ,"ASUS ROG Thor 1000W Platinum III ATX 3.1 Power Supply
",Computer Components,Power Supply (SMPS),37500.0,ASUS
Amd Ryzen 3 3200G,Amd Ryzen 3 3200G Processor With Radeon Rx Vega 8 Graphics (YD3200C5FHBOX),Computer Components,Processor (CPU),3599.0,Amd 
Amd Ryzen 5 3400G,"Amd Ryzen 5 3400G With Radeon Rx Vega 11 Graphics Processor ( Upto 4.2 Ghz / 6 Mb Cache)
",Computer Components,Processor (CPU),7400.0,Amd
Amd Ryzen 7 5700G,"Amd Ryzen 7 5700G Processor With Radeon Graphics
",Computer Components,Processor (CPU),20550.0,Amd 
AMD Ryzen 9 9900X3D,"AMD Ryzen 9 9900X3D Desktop Gaming and Content Creation Processor (100-100001368WOF)
",Computer Components,Processor (CPU),59700.0,Amd 
Intel 10Th Gen Comet Lake Core I5,"Intel 10Th Gen Comet Lake Core I5-10400F Processor (BX8070110400F)
",Computer Components,Processor (CPU),10480.0,Intel 
Intel Core i7 14700K,"Intel Core i7 14700K 14th Gen Desktop Processor (BX8071514700K)
",Computer Components,Processor (CPU),47000.0,Intel
Intel Core I9 14900KS 14th Gen,"Intel Core I9 14900KS 14th Gen Desktop Processor (i9-14900KS)
",Computer Components,Processor (CPU),64500.0,Intel 
Acer HT200 16GB,"Acer HT200 16GB 6000MHz CL30 DDR5 RAM (Black)
",Computer Components,RAM,24500.0,Acer
Acer Predator Vesta II Rgb 32Gb,"Acer Predator Vesta II Rgb 32Gb (16GbX2) 6000Mhz Ddr5 CL30 Desktop Ram (BL-9BWWR-327)
",Computer Components,RAM,49900.0,Acer
Adata Xpg Lancer 16Gb Rgb,"Adata Xpg Lancer 16Gb Rgb Series (16Gbx1) Ddr5 6000Mhz Desktop Ram (White) (AX5U6000C3016G-CLARWH)
",Computer Components,RAM,27500.0,Adata
G.skill Trident Z Royal 16Gb,G.skill Trident Z Royal 16Gb (8Gbx2) 3600Mhz Ddr4 Rgb Ram (F4-3600C16D-16Gtrsc),Computer Components,RAM,18000.0,G.skill
Hyperx Fury 16Gb Ddr4,"Hyperx Fury 16Gb Ddr4 3200Mhz Cl16 Ram (Black) (Hx432C16Fb3/16)
",Computer Components,RAM,14500.0,Hyperx
Corsair Vengeance 32GB DDR5,Lightning fast 6000MHz performance.,Computer Components,RAM (Memory),14999.0,SmartCart
Samsung 9100 Pro 1TB ,"Samsung 9100 Pro 1TB PCIe Gen 5.0 NVMe M.2 Internal SSD (MZ-VAP1T0BW)
",Computer Components,Storage (SSD/HDD) ,30700.0,Samsung
Samsung 990 Evo Plus 2TB ,Samsung 990 Evo Plus 2TB M.2 NVMe Gen5 Internal SSD (MZ-V9S2T0BW),Computer Components,Storage (SSD/HDD) ,40000.0,Samsung
Xpg Gammix S60 512Gb,"Xpg Gammix S60 512Gb PCIe Gen4 x4 M.2 2280 Internal Ssd
",Computer Components,Storage (SSD/HDD) ,9250.0,Xpg
XPG Mars 980 Blade 4TB,"XPG Mars 980 Blade 4TB PCIe Gen5 x4 M.2 2280 SSD

",Computer Components,Storage (SSD/HDD) ,61500.0,XPG
Acer Predator GM7000 4TB ,"Acer Predator GM7000 4TB M.2 NVMe Gen4 Internal SSD (BL-9BWWR-107)
",Computer Components,Storage (SSD/HDD) ,57000.0,Acer
Mac-Style AIO 27,Stunning 4K display and powerful internal hardware.,Desktop PCs,All-in-One PCs,129999.0,SmartCart
Dell OptiPlex 7010,Micro form-factor with enterprise security.,Desktop PCs,Business PCs,72999.0,SmartCart
Aegis X Pro,A pre-built monster featuring RTX 4090 and i9.,Desktop PCs,Gaming Desktops,249999.0,SmartCart
NVIDIA RTX A6000 Rig,Unparalleled power for AI training and rendering.,Desktop PCs,Workstations,699999.0,SmartCart
Precision 7920 Dual-Xeon,Serious multithreaded performance for rendering.,Desktop PCs,Workstations,459999.0,SmartCart
Redragon K552,The best-selling budget mechanical keyboard.,Keyboards & Mouse,Gaming Keyboards,2999.0,SmartCart
